Restaurant,Rating,Cuisine,Delivery_Time,Location,Distance_km,Restaurant_ID,Delivery_Category
Wow! Momo,4.4,"Momos,Chinese,fastfood,Asian,Beverages",44,Gachibowli,6.2,267251,Slow Delivery
Barbeque Nation,3.7,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",53,Kompally,10.0,577517,Slow Delivery
Pista House Haleem,4.6,Haleem,32,Suchitra Circle,4.7,370799,Medium Delivery
Hotel Shubham Celebrations - Dhanturi Group of Hotels,4.2,"Biryani,Chinese,South Indian,Tandoor",24,Jeedimetla,1.8,50572,Fast Delivery
Natural Ice Cream,4.7,"Ice Cream,Desserts",25,Suchitra Circle,2.1,335332,Fast Delivery
KFC,4.1,"Burgers,Fast Food,Rolls & Wraps",22,Jeedimetla & Chintal,1.6,458200,Fast Delivery
McDonald's,4.3,"Burgers,Beverages,Cafe,Desserts",35,Kompally,5.9,93241,Medium Delivery
The Pizza Project by Oven Story,4.2,"Pizzas,Italian,Desserts,Beverages",32,Suchitra Circle,2.1,837923,Medium Delivery
Hotel Swagath Grand - Dhanturi Group of Hotels,4.1,"Biryani,Chinese,South Indian,North Indian,Tandoor",35,Suchitra,4.5,14787,Medium Delivery
Makhani Darbar,4.1,"Kebabs,Mughlai,Beverages,Desserts",30,Suchitra Circle,2.1,801338,Medium Delivery
Veg Meals By LunchBox,4.3,"Thalis,North Indian,Biryani,South Indian,Desserts,Beverages",34,Suchitra Circle,2.1,263783,Medium Delivery
Sweet Truth - Cake and Desserts,4.2,"Desserts,Ice Cream,Bakery,Beverages",25,Suchitra Circle,2.1,168822,Fast Delivery
The Good Bowl,4.3,"Biryani,North Indian,Pastas,Punjabi,Desserts,Beverages",31,Suchitra Circle,2.1,168824,Medium Delivery
The Biryani Life,3.6,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,Desserts,Beverages",29,Suchitra Circle,2.1,189424,Medium Delivery
Faasos' Signature Wraps & Rolls,3.9,"Fast Food,Snacks,North Indian,Desserts,Beverages",32,Suchitra Circle,2.1,566334,Medium Delivery
Veg Darbar by Behrouz Biryani,3.8,"Biryani,North Indian,Kebabs,Mughlai,Lucknowi,Hyderabadi,Desserts,Beverages",32,Suchitra Circle,2.1,575100,Medium Delivery
Dum Safar Biryani,3.8,"Biryani,Hyderabadi,Kebabs,North Indian,barbeque",45,KOMPALLY,9.9,639522,Slow Delivery
Wow! Momo,4.3,"Momos,Chinese,fastfood,Asian,Beverages",26,Quthbullapur,2.2,1303655,Medium Delivery
Raju Gari Biryani,3.9,Biryani,26,Alwal,2.8,1131070,Medium Delivery
Pizza Hut,4.3,Pizzas,34,Secunderabad,3.0,644815,Medium Delivery
Wow! Momo,4.2,"Momos,Chinese,fastfood,Asian,Beverages",34,Necklace Mall,1.7,608721,Medium Delivery
NIC Ice Creams,4.6,"Ice Cream,Desserts",22,Bhoiguda,1.5,359256,Fast Delivery
Domino's Pizza,4.4,"Pizzas,Italian,Pastas,Desserts",25,Nallakunta & Vidyanagar,1.5,391316,Fast Delivery
Pista House Haleem,4.6,"Haleem,Biryani,Hyderabadi",25,Nallakunta & Vidyanagar,2.0,370408,Fast Delivery
Go Zero Ice Creams & Desserts,3.9,"Ice Cream,Desserts,Healthy Food",42,Abids,5.0,853135,Slow Delivery
Natural Ice Cream,4.7,"Ice Cream,Desserts",33,Himayat Nagar,3.5,560732,Medium Delivery
LeanCrust Pizza- ThinCrust Experts,4.5,"Pizzas,Italian,Desserts",25,Ashok Nagar,0.6,681558,Fast Delivery
Baskin Robbins,4.4,"Desserts,Ice Cream",27,Nallakunta & Vidyanagar,1.7,373904,Medium Delivery
