Restaurant,Rating,Cuisine,Delivery_Time,Location,Distance_km,Restaurant_ID,Delivery_Category
Baskin Robbins - Ice Cream Desserts,4.3,"Desserts,Ice Cream",31,Trimulgherry,4.7,337001,Medium Delivery
Cream Stone Ice Cream,4.5,"Ice Cream,Desserts,Beverages,Ice Cream Cakes",24,Malkajgiri,2.6,150649,Fast Delivery
Oven Story Pizza,4.2,"Pizzas,Pastas,Italian,Desserts,Beverages",32,Habsiguda,5.0,25410,Medium Delivery
Sweet Truth - Cake and Desserts,4.3,"Desserts,Ice Cream,Bakery,Beverages",36,Habsiguda,5.0,35544,Slow Delivery
The Belgian Waffle Co.,4.6,"Waffle,Desserts,Ice Cream,Beverages",44,Begumpet,5.0,44934,Slow Delivery
McDonald's,4.4,"Burgers,Beverages,Cafe,Desserts",34,SD Road,3.0,23710,Medium Delivery
Subway,4.4,"sandwich,Salads,wrap,Healthy Food",26,SD Road Rezimental Bazar,2.3,8786,Medium Delivery
KFC,4.2,"Burgers,Fast Food,Rolls & Wraps",28,Secunderabad,2.3,693213,Medium Delivery
Flavours of Taj Mahal Hotel,4.6,"South Indian,North Indian,Biryani,Snacks",36,Kalasiguda,3.0,2770,Slow Delivery
Zomoz - The Momo Company,4.5,"Momos,Fast Food",34,West Marredpally,2.6,312303,Medium Delivery
Hotel Swagath Grand - Dhanturi Group of Hotels,4.1,"Biryani,Chinese,South Indian,North Indian,Tandoor",28,Malkajgiri,3.0,43796,Medium Delivery
Paradise Biryani,4.1,"Biryani,Kebabs,Desserts,Beverages,Haleem",34,Padmarao Nagar,3.0,626811,Medium Delivery
Domino's Pizza,4.5,"Pizzas,Italian,Pastas,Desserts",25,TARNAKA,2.8,984959,Fast Delivery
Barbeque Nation,4.0,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",50,A S Rao Nagar,7.5,300364,Slow Delivery
Raju Gari Biryani,3.9,Biryani,29,Kharkhana & Trimulgherry,2.4,1148881,Medium Delivery
Varalakshmi Tiffins,4.6,South Indian,32,Paradise circle,4.1,575804,Medium Delivery
Pizza Hut,4.3,Pizzas,36,Secunderabad,4.3,644815,Slow Delivery
Wow! Momo,4.3,"Momos,Chinese,fastfood,Asian,Beverages",29,Jubli House,2.3,452522,Medium Delivery
NIC Ice Creams,4.7,"Ice Cream,Desserts",17,TIRUMALAGIRI,0.9,667628,Fast Delivery
Barbeque Nation,4.0,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",46,A S Rao Nagar,5.0,300364,Slow Delivery
Pista House Haleem,4.6,"Haleem,Biryani,Hyderabadi",32,Begumpet,4.6,369902,Medium Delivery
Natural Ice Cream,4.8,"Ice Cream,Desserts",36,Banjara Hills,5.7,32125,Slow Delivery
LeanCrust Pizza- ThinCrust Experts,4.5,"Pizzas,Italian,Desserts",25,Kharkhana & Trimulgherry,2.0,681624,Fast Delivery
United Kitchens of India,4.4,"North Indian,Andhra",33,Karkhana,2.0,78441,Medium Delivery
Theobroma,4.6,Desserts,27,Karkhana,1.2,550107,Medium Delivery
Paradise Biryani,4.2,"Biryani,Kebabs,North Indian,Hyderabadi",37,Bowenpally,4.0,570561,Slow Delivery
Cream Stone Ice Cream,4.6,"Ice Cream,Desserts,Beverages,Ice Cream Cakes",48,A S Rao Nagar,5.7,10744,Slow Delivery
Concu,4.6,"Cafe,Desserts,Beverages",36,Maredpally,4.0,482701,Slow Delivery
Subway,4.0,"sandwich,Salads,wrap,Healthy Food",31,Diamond point,3.0,12167,Medium Delivery
KFC,4.3,"Burgers,Fast Food,Rolls & Wraps",29,Karkhana,2.8,17101,Medium Delivery
Grameen Kulfi,4.7,"Ice Cream,Desserts",18,TIRUMALAGIRI,0.9,667629,Fast Delivery
5th Avenue Bakers,4.4,"American,Fast Food,Snacks,Desserts,Bakery,Italian",33,Sainikpuri,4.8,3895,Medium Delivery
The Pizza Project by Oven Story,4.1,"Pizzas,Italian,Desserts,Beverages",32,Karkhana,2.7,837890,Medium Delivery
Agra Sweets Banjara,4.5,"Sweets,Desserts,Chaat,Snacks,Beverages",28,East Nehru Nagar,3.0,9020,Medium Delivery
Wow! China,4.0,"Chinese,Asian,fastfood,Beverages,Snacks",30,Jubli House,2.3,452521,Medium Delivery
BOX8 - Desi Meals,4.3,"North Indian,Biryani,Thalis,Home Food",25,Kharkhana & Trimulgherry,2.0,555457,Fast Delivery
Pizza Hut,4.4,Pizzas,37,Bowenpally,4.1,1005030,Slow Delivery
Domino's Pizza,4.3,"Pizzas,Italian,Pastas,Desserts",25,Vikrampuri Colony,1.9,1337358,Fast Delivery
Raju Gari Biryani,3.9,Biryani,31,Kharkhana & Trimulgherry,3.0,1148881,Medium Delivery
Varalakshmi Tiffins,4.6,South Indian,33,Paradise circle,4.7,575804,Medium Delivery
Pizza Hut,4.3,Pizzas,41,Sanathnagar,4.9,595197,Slow Delivery
Domino's Pizza,4.3,"Pizzas,Italian,Pastas,Desserts",25,Sangeeth Nagar,2.0,618652,Fast Delivery
Wow! Momo,4.2,"Momos,Chinese,fastfood,Asian,Beverages",29,Moosapet,1.4,609317,Medium Delivery
Barbeque Nation,4.4,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",61,Kukatpally,7.4,300355,
Homely,4.1,"Home Food,North Indian,South Indian,Beverages,Desserts,Thalis",55,Kukatpally,5.8,193570,Slow Delivery
Pista House Haleem,4.6,"Haleem,Biryani",34,Sanath Nagar,4.9,370399,Medium Delivery
Harley's Fine Baking,4.6,"Bakery,Desserts",33,Kukatpally,2.1,798842,Medium Delivery
Cream Stone Ice Cream,4.6,"Ice Cream,Desserts,Beverages,Ice Cream Cakes",36,Kukatpally,4.5,1853,Slow Delivery
KFC,4.0,"Burgers,Fast Food,Rolls & Wraps",25,Jeedimetla & Chintal,2.3,458199,Fast Delivery
Chinese Wok,3.9,"Chinese,Asian,Tibetan,Desserts",35,Kukatpally,2.3,492267,Medium Delivery
Dum Safar Biryani,4.1,"Biryani,Hyderabadi,Kebabs,North Indian,barbeque",61,KUKATPALLY,7.4,639475,
Hotel Shubham Celebrations - Dhanturi Group of Hotels,4.2,"Biryani,Chinese,South Indian,Tandoor",39,Jeedimetla,7.6,50572,Slow Delivery
Wow! Chicken By Wow! Momo,3.9,"Burger,Biryani,American,fastfood",67,Kukatpally,7.4,577197,
Go Zero Ice Creams & Desserts,4.2,"Ice Cream,Desserts,Healthy Food",50,Kukatpally,5.0,657377,Slow Delivery
Natural Ice Cream,4.7,"Ice Cream,Desserts",43,Kukatpally,4.2,324758,Slow Delivery
Wow! China,3.7,"Chinese,Asian,fastfood,Beverages,Snacks",64,Lulu Mall,5.9,772165,
Baskin Robbins - Ice Cream Desserts,4.4,"Desserts,Ice Cream",71,Kukatpally,5.0,769065,
Wow! Momo,4.4,"Momos,Chinese,fastfood,Asian,Beverages",30,Gachibowli,1.4,267251,Medium Delivery
Mealy - Your Everyday Meal,4.3,"North Indian,Beverages,Street Food",52,Kukatpally,5.8,1111966,Slow Delivery
Raju Gari Biryani,3.7,Biryani,33,Jeedimetla & Chintal,4.9,995708,Medium Delivery
Pizza Hut,4.4,Pizzas,46,Banjara Hills,3.0,173464,Slow Delivery
NIC Ice Creams,4.6,"Ice Cream,Desserts",32,Begumpet,3.6,108985,Medium Delivery
Wow! Momo,4.3,"Momos,Chinese,fastfood,Asian,Beverages",45,Banjara Hills,4.4,312149,Slow Delivery
Domino's Pizza,4.4,"Pizzas,Italian,Pastas,Desserts",25,Begumpet,2.8,24631,Fast Delivery
Lucky Restaurant,4.0,"Biryani,Tandoor",36,Banjara Hills,3.6,367769,Slow Delivery
LeanCrust Pizza- ThinCrust Experts,4.4,"Pizzas,Italian,Desserts",25,Khairatabad,3.0,681600,Fast Delivery
Natural Ice Cream,4.7,"Ice Cream,Desserts",33,Sri Nagar Colony,4.3,32124,Medium Delivery
Srikanya,4.3,"Biryani,Andhra,South Indian",33,Panjagutta,2.9,3324,Medium Delivery
Meridian Restaurant,4.4,"Biryani,Chinese,Kebabs",31,Panjagutta,2.9,25251,Medium Delivery
Grameen Kulfi,4.7,"Ice Cream,Desserts",35,Begumpet,3.6,355746,Medium Delivery
Imperial Multicuisine Restaurant,4.2,"Biryani,Chinese,Indian,Kebabs,Tandoor",35,Redhills,3.8,262087,Medium Delivery
Go Zero Ice Creams & Desserts,4.5,"Ice Cream,Desserts,Healthy Food",31,Gokul Tower,2.9,688357,Medium Delivery
Harley's Fine Baking,4.6,"Desserts,Fast Food,Bakery,Sweets,Snacks",32,Banjara Hills,2.5,587477,Medium Delivery
Oven Story Pizza,4.7,"Pizzas,Pastas,Italian,Desserts,Beverages",27,Banjara Hills,4.6,25406,Medium Delivery
Paradise Biryani,4.4,"Biryani,Kebabs,North Indian,Hyderabadi",34,Khairtabad,3.0,7412,Medium Delivery
Wow! China,4.0,"Chinese,Asian,fastfood,Beverages,Snacks",35,Prasad Imax,2.9,838833,Medium Delivery
BOX8 - Desi Meals,4.4,"North Indian,Biryani,Thalis,Home Food",25,Khairatabad,3.0,487211,Fast Delivery
Daily Kitchen - Everyday Homely Meals,4.4,"Home Food,Indian,North Indian,Thalis",25,Masab Tank,3.0,750384,Fast Delivery
Mealful Rolls - India's Biggest Rolls,4.3,"Fast Food,Snacks,North Indian,Desserts",25,Masab Tank,3.0,487212,Fast Delivery
"Bhatti Chicken - Grilled, NOT Fried!",4.3,"North Indian,Snacks,Fast Food,Tandoor",25,Masab Tank,3.0,616261,Fast Delivery
Pizza Hut,4.3,Pizzas,53,Panjagutta,3.0,52760,Slow Delivery
Barbeque Nation,4.3,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",46,Banjara Hills,3.0,300363,Slow Delivery
Mealy - Your Everyday Meal,4.3,"North Indian,Beverages,Street Food",46,Banjarahills,4.5,1111967,Slow Delivery
Homely,4.0,"Home Food,North Indian,South Indian,Beverages,Desserts,Thalis",46,Banjarahills,4.5,77671,Slow Delivery
Raju Gari Biryani,3.8,"Chinese,Biryani,Desserts,Beverages,Tandoor",34,Ameerpet,3.8,920068,Medium Delivery
